deal	ours_ms	dds_ms	ref_ms
1512	22.452	32.072	21.991
1513	118.782	89.229	113.131
1514	43.148	21.907	42.254
1515	36.382	25.921	36.911
1516	26.580	42.818	26.630
1517	221.880	181.255	196.923
1518	198.769	128.492	173.985
1519	67.621	62.923	66.751
1520	146.417	52.009	142.686
1521	258.518	313.373	244.412
1522	92.980	100.889	88.393
1523	39.474	21.678	36.583
1524	25.635	42.338	25.283
1525	221.353	179.381	216.127
1526	26.372	23.630	27.197
1527	149.965	93.774	136.224
1528	121.813	158.786	112.470
1529	44.372	96.585	41.299
1530	41.039	46.787	40.729
1531	73.153	40.733	69.212
1532	15.470	12.957	16.250
1533	115.545	190.487	113.121
1534	503.764	268.049	433.133
1535	131.360	145.072	121.200
1536	9.208	10.097	9.651
1537	23.055	24.143	22.879
1538	351.795	454.121	302.320
1539	147.366	136.553	147.114
1540	299.660	208.218	272.834
1541	69.397	48.741	58.970
1542	140.412	180.874	115.609
1543	21.408	23.025	19.415
1544	29.640	22.481	28.186
1545	180.232	216.296	146.854
1546	64.279	53.982	42.159
1547	27.579	32.477	25.841
1548	5.895	4.617	6.472
1549	241.029	159.797	182.916
1550	98.813	67.092	87.031
1551	85.854	98.901	75.548
1552	68.931	73.795	64.652
1553	47.529	61.327	44.090
1554	161.124	191.112	141.076
1555	28.249	26.991	26.016
1556	39.047	17.892	33.622
1557	152.937	144.589	120.339
1558	107.244	123.201	97.727
1559	106.114	108.326	97.611
1560	76.882	52.262	66.053
1561	130.608	87.355	111.590
1562	28.916	37.556	27.870
1563	16.741	10.235	15.983
1564	59.842	53.449	56.166
1565	33.200	28.733	31.462
1566	42.463	54.023	39.226
1567	54.270	32.612	50.525
1568	167.231	161.049	154.524
1569	33.766	32.182	32.920
1570	303.560	272.156	264.899
1571	144.598	94.291	141.579
1572	329.499	261.259	304.456
1573	63.045	52.809	61.827
1574	161.304	216.465	146.600
1575	51.314	49.219	50.669
1576	68.608	76.009	66.784
1577	123.006	101.381	115.165
1578	177.532	105.681	160.490
1579	587.891	625.965	519.112
1580	71.029	53.122	68.225
1581	26.395	16.563	25.777
1582	0.387	0.877	1.202
1583	71.842	92.870	66.754
1584	45.500	48.910	46.308
1585	21.831	18.313	21.563
1586	190.120	101.286	173.965
1587	101.407	100.064	98.058
1588	17.248	9.749	16.704
1589	15.430	13.973	15.243
1590	298.061	154.010	259.757
